# time_index, spacecraft_id, x, y, z
0, 1, 9.5565000000000000e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
0, 2, 9.9100533905932739e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
0, 3, 9.9100533905932739e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
0, 4, 9.5565000000000000e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
0, 5, 9.6272106781186551e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
0, 6, 9.6272106781186551e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
0, 7, 9.5565000000000000e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
1, 1, 9.5507603603603601e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
1, 2, 9.9043137509536341e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
1, 3, 9.9043137509536341e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
1, 4, 9.5507603603603601e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
1, 5, 9.6214710384790152e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
1, 6, 9.6214710384790152e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
1, 7, 9.5507603603603601e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
2, 1, 9.5450207207207203e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
2, 2, 9.8985741113139942e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
2, 3, 9.8985741113139942e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
2, 4, 9.5450207207207203e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
2, 5, 9.6157313988393754e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
2, 6, 9.6157313988393754e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
2, 7, 9.5450207207207203e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
3, 1, 9.5392810810810804e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
3, 2, 9.8928344716743544e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
3, 3, 9.8928344716743544e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
3, 4, 9.5392810810810804e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
3, 5, 9.6099917591997355e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
3, 6, 9.6099917591997355e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
3, 7, 9.5392810810810804e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
4, 1, 9.5335414414414421e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
4, 2, 9.8870948320347160e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
4, 3, 9.8870948320347160e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
4, 4, 9.5335414414414421e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
4, 5, 9.6042521195600972e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
4, 6, 9.6042521195600972e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
4, 7, 9.5335414414414421e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
5, 1, 9.5278018018018022e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
5, 2, 9.8813551923950762e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
5, 3, 9.8813551923950762e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
5, 4, 9.5278018018018022e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
5, 5, 9.5985124799204573e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
5, 6, 9.5985124799204573e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
5, 7, 9.5278018018018022e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
6, 1, 9.5220621621621624e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
6, 2, 9.8756155527554363e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
6, 3, 9.8756155527554363e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
6, 4, 9.5220621621621624e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
6, 5, 9.5927728402808174e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
6, 6, 9.5927728402808174e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
6, 7, 9.5220621621621624e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
7, 1, 9.5163225225225225e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
7, 2, 9.8698759131157964e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
7, 3, 9.8698759131157964e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
7, 4, 9.5163225225225225e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
7, 5, 9.5870332006411776e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
7, 6, 9.5870332006411776e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
7, 7, 9.5163225225225225e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
8, 1, 9.5105828828828827e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
8, 2, 9.8641362734761566e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
8, 3, 9.8641362734761566e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
8, 4, 9.5105828828828827e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
8, 5, 9.5812935610015377e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
8, 6, 9.5812935610015377e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
8, 7, 9.5105828828828827e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
9, 1, 9.5048432432432428e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
9, 2, 9.8583966338365167e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
9, 3, 9.8583966338365167e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
9, 4, 9.5048432432432428e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
9, 5, 9.5755539213618979e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
9, 6, 9.5755539213618979e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
9, 7, 9.5048432432432428e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
10, 1, 9.4991036036036029e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
10, 2, 9.8526569941968769e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
10, 3, 9.8526569941968769e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
10, 4, 9.4991036036036029e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
10, 5, 9.5698142817222580e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
10, 6, 9.5698142817222580e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
10, 7, 9.4991036036036029e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
11, 1, 9.4933639639639646e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
11, 2, 9.8469173545572385e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
11, 3, 9.8469173545572385e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
11, 4, 9.4933639639639646e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
11, 5, 9.5640746420826197e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
11, 6, 9.5640746420826197e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
11, 7, 9.4933639639639646e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
12, 1, 9.4876243243243247e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
12, 2, 9.8411777149175987e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
12, 3, 9.8411777149175987e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
12, 4, 9.4876243243243247e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
12, 5, 9.5583350024429798e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
12, 6, 9.5583350024429798e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
12, 7, 9.4876243243243247e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
13, 1, 9.4818846846846849e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
13, 2, 9.8354380752779588e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
13, 3, 9.8354380752779588e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
13, 4, 9.4818846846846849e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
13, 5, 9.5525953628033400e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
13, 6, 9.5525953628033400e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
13, 7, 9.4818846846846849e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
14, 1, 9.4761450450450450e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
14, 2, 9.8296984356383190e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
14, 3, 9.8296984356383190e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
14, 4, 9.4761450450450450e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
14, 5, 9.5468557231637001e+07, 7.0710678118654748e+05, 0.0000000000000000e+00
14, 6, 9.5468557231637001e+07, 0.0000000000000000e+00, 7.0710678118654748e+05
14, 7, 9.4761450450450450e+07, 7.0710678118654748e+05, 7.0710678118654748e+05
15, 1, 9.4704054054054052e+07, 0.0000000000000000e+00, 0.0000000000000000e+00
15, 2, 9.8239587959986791e+07, 3.5355339059327375e+06, 0.0000000000000000e+00
15, 3, 9.8239587959986791e+07, 0.0000000000000000e+00, 3.5355339059327375e+06
15, 4, 9.4704054054054052e+07, 3.5355339059327375e+06, 3.5355339059327375e+06
